classIDx,frame_idx,mean_score,std_score,min_score,max_score
15,21,0.03492,0.01165,0.01655,0.05377
15,22,0.03386,0.00981,0.01933,0.04841
15,24,0.02687,0.02007,0.00667,0.06786
15,37,0.02224,0.02216,0.00011,0.05284
15,38,0.02707,0.0164,0.00795,0.05225
15,39,0.02708,0.01725,0.01001,0.05975
15,40,0.02765,0.0141,0.01249,0.05204
15,41,0.01678,0.00659,0.00799,0.02944
15,46,0.02079,0.01769,0.0029,0.04901
30,99,0.01449,0.01501,0.00353,0.04674
52,1,0.11384,0.00259,0.1113,0.11899
52,2,0.11181,0.00307,0.10679,0.11539
52,3,0.1026,0.00767,0.08658,0.11083
52,4,0.10852,0.00448,0.10395,0.11563
52,5,0.11082,0.00465,0.10595,0.11823
52,6,0.11122,0.00344,0.10656,0.11497
52,7,0.11466,0.00647,0.10382,0.1224
52,8,0.11346,0.00541,0.10761,0.12338
52,9,0.11295,0.00573,0.10487,0.11981
52,10,0.11049,0.00499,0.10408,0.11949
52,11,0.1141,0.00423,0.10831,0.12088
52,12,0.11495,0.00289,0.11105,0.11798
52,13,0.11824,0.00256,0.11498,0.123
52,14,0.11795,0.00302,0.11344,0.12239
52,15,0.11532,0.00286,0.11175,0.11897
52,16,0.11914,0.00407,0.11475,0.12693
52,17,0.12164,0.00273,0.11917,0.1273
52,18,0.12125,0.00327,0.115,0.12469
52,19,0.12114,0.00367,0.11747,0.12804
52,20,0.11958,0.00379,0.11525,0.12583
52,21,0.12301,0.00301,0.11987,0.12847
52,22,0.12152,0.00548,0.11304,0.12816
52,23,0.12664,0.00363,0.12125,0.13224
52,24,0.12634,0.00523,0.11614,0.13107
52,25,0.12785,0.0045,0.1184,0.13279
52,26,0.13037,0.00367,0.12345,0.13438
52,27,0.13145,0.00428,0.1255,0.13744
52,28,0.12954,0.00508,0.12245,0.13567
52,29,0.12586,0.00537,0.11724,0.13323
52,30,0.12548,0.00626,0.11459,0.13431
52,31,0.12203,0.00729,0.11124,0.13307
52,32,0.12207,0.00863,0.11242,0.13541
52,33,0.12458,0.00712,0.11661,0.13805
52,34,0.12472,0.00536,0.11765,0.13409
52,35,0.12272,0.00248,0.11918,0.1257
52,36,0.12474,0.00504,0.11648,0.13047
52,37,0.12388,0.00477,0.11586,0.1311
52,38,0.12624,0.00269,0.12214,0.1299
52,39,0.10858,0.00361,0.10377,0.11305
52,40,0.09596,0.00966,0.08168,0.1077
52,41,0.10246,0.00657,0.09359,0.11189
52,42,0.09559,0.00664,0.08785,0.10686
52,43,0.08213,0.00923,0.06763,0.09323
52,44,0.09987,0.00634,0.09205,0.10828
52,45,0.07932,0.00868,0.06676,0.09225
52,46,0.09755,0.00529,0.09027,0.10433
55,39,0.04533,0.01776,0.01125,0.06517
55,48,0.00561,0.00438,0.00141,0.01442
55,49,0.01415,0.00515,0.00688,0.02201
55,50,0.01428,0.00367,0.00966,0.02116
55,51,0.02052,0.00471,0.01141,0.02568
55,52,0.01763,0.00264,0.01189,0.01991
55,53,0.02165,0.00527,0.01419,0.02928
55,54,0.01625,0.00612,0.00759,0.0239
55,56,0.01292,0.00644,0.00629,0.02325
66,133,0.04044,0.02337,0.00881,0.07111
66,135,0.03865,0.02114,0.00436,0.07016
66,154,0.03596,0.00942,0.02481,0.04884
66,155,0.03521,0.00603,0.02874,0.04681
66,156,0.03336,0.00449,0.02443,0.0382
