classIDx,video_name,image_name,frame_idx,inter_neg_score,inter_pos_score,intra_score,score,mean_score,std_score,min_score,max_score
0,c01_20210131062134,c01_20210131062134_1,1,0.8491802,0.8391638,0.81710815,-0.03207,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210131062134,c01_20210131062134_2,2,0.84254086,0.85646737,0.77993464,-0.07653,-0.10804,0.05823,-0.20351,-0.04265
0,c01_20210131062134,c01_20210131062134_3,3,0.8401394,0.86664885,0.7947216,-0.07193,-0.10858,0.05702,-0.20028,-0.04282
0,c01_20210131062134,c01_20210131062134_4,4,0.83932614,0.8650576,0.78994125,-0.07512,-0.11249,0.05859,-0.20636,-0.04085
0,c01_20210131062134,c01_20210131062134_5,5,0.85250175,0.86176753,0.7724538,-0.08931,-0.10709,0.05052,-0.17376,-0.04238
0,c01_20210131062134,c01_20210131062134_8,8,0.8491448,0.8412775,0.72183895,-0.12731,-0.16476,0.05168,-0.25375,-0.11497
0,c01_20210131062134,c01_20210131062134_9,9,0.81781244,0.84382826,0.68086797,-0.16296,-0.18822,0.06753,-0.30141,-0.11722
0,c01_20210131062134,c01_20210131062134_10,10,0.82847726,0.8324887,0.68253434,-0.14995,-0.18895,0.05975,-0.30633,-0.13045
0,c01_20210131062134,c01_20210131062134_12,12,0.85011315,0.85479,0.758825,-0.09597,-0.1688,0.05801,-0.26644,-0.09597
0,c01_20210131062134,c01_20210131062134_13,13,0.84831446,0.8555372,0.74929976,-0.10624,-0.16497,0.06804,-0.28659,-0.09077
0,c01_20210131062134,c01_20210131062134_17,17,0.8208748,0.85217464,0.6779009,-0.17427,-0.16575,0.0568,-0.28453,-0.10401
0,c01_20210131062134,c01_20210131062134_19,19,0.8277315,0.8558198,0.64061606,-0.2152,-0.2055,0.05815,-0.31703,-0.12209
0,c01_20210131062134,c01_20210131062134_24,24,0.83386016,0.8471871,0.7648998,-0.08229,-0.1305,0.05045,-0.21239,-0.08229
0,c01_20210131062134,c01_20210131062134_32,32,0.83728963,0.8466524,0.75544256,-0.09121,-0.13018,0.05177,-0.21886,-0.05577
0,c01_20210131062134,c01_20210131062134_33,33,0.82803464,0.8402356,0.7729067,-0.06733,-0.14562,0.07656,-0.26771,-0.06012
0,c01_20210131062134,c01_20210131062134_46,46,0.84092605,0.8414159,0.7878933,-0.05352,-0.1155,0.0605,-0.2099,-0.02594
0,c01_20210131062134,c01_20210131062134_56,56,0.894753,0.9032565,0.77956825,-0.12369,-0.17386,0.05337,-0.27169,-0.12369
0,c01_20210131062134,c01_20210131062134_62,62,0.85591036,0.8591286,0.7850172,-0.07411,-0.11906,0.0539,-0.21905,-0.06891
0,c01_20210131062134,c01_20210131062134_98,98,0.8532121,0.8654618,0.7585209,-0.10694,-0.13384,0.05684,-0.2309,-0.07149
0,c01_20210131062134,c01_20210131062134_99,99,0.858209,0.85455716,0.7705558,-0.08765,-0.14922,0.07278,-0.25955,-0.07228
0,c01_20210204062142,c01_20210204062142_1,1,0.8843993,0.8797127,0.7275802,-0.15682,-0.07801,0.06506,-0.19024,-0.02103
0,c01_20210204062142,c01_20210204062142_2,2,0.8926755,0.88351756,0.7161026,-0.17657,-0.10804,0.05823,-0.20351,-0.04265
